Draw Date,Winning Numbers,Mega Ball,Multiplier,Number1,Number2,Number3,Number4,Number5
2023-02-10,20 29 30 52 58,19,3.0,20,29,30,52,58
2023-02-07,09 15 46 55 57,4,2.0,9,15,46,55,57
2023-02-03,01 04 50 54 59,17,2.0,1,4,50,54,59
2023-01-31,07 09 18 29 39,13,4.0,7,9,18,29,39
2023-01-27,04 43 46 47 61,22,4.0,4,43,46,47,61
2023-01-24,33 41 47 50 62,20,4.0,33,41,47,50,62
2023-01-20,20 29 31 64 66,17,4.0,20,29,31,64,66
2023-01-17,02 12 18 24 39,18,3.0,2,12,18,24,39
2023-01-13,30 43 45 46 61,14,2.0,30,43,45,46,61
2023-01-10,07 13 14 15 18,9,3.0,7,13,14,15,18
2023-01-06,03 20 46 59 63,13,3.0,3,20,46,59,63
2023-01-03,25 29 33 41 44,18,4.0,25,29,33,41,44
2022-12-30,01 03 06 44 51,7,3.0,1,3,6,44,51
2022-12-27,09 13 36 59 61,11,2.0,9,13,36,59,61
2022-12-23,15 21 32 38 62,8,4.0,15,21,32,38,62
2022-12-20,03 04 33 36 52,17,4.0,3,4,33,36,52
2022-12-16,08 35 40 53 56,11,3.0,8,35,40,53,56
2022-12-13,14 22 48 58 68,6,2.0,14,22,48,58,68
2022-12-09,08 19 53 61 69,19,4.0,8,19,53,61,69
2022-12-06,15 16 19 28 47,13,3.0,15,16,19,28,47
2022-12-02,01 21 36 46 52,16,3.0,1,21,36,46,52
2022-11-29,20 23 37 46 52,6,4.0,20,23,37,46,52
2022-11-25,29 31 46 54 67,18,2.0,29,31,46,54,67
2022-11-22,13 23 24 25 43,2,3.0,13,23,24,25,43
2022-11-18,02 14 16 38 66,9,4.0,2,14,16,38,66
2022-11-15,06 19 28 46 61,18,2.0,6,19,28,46,61
2022-11-11,01 05 17 37 70,22,3.0,1,5,17,37,70
2022-11-08,05 13 29 38 59,23,4.0,5,13,29,38,59
2022-11-04,02 20 47 55 59,19,2.0,2,20,47,55,59
2022-11-01,05 09 15 16 17,25,3.0,5,9,15,16,17
2022-10-28,04 18 31 53 69,7,2.0,4,18,31,53,69
2022-10-25,21 30 35 45 66,21,3.0,21,30,35,45,66
2022-10-21,34 36 43 45 68,22,2.0,34,36,43,45,68
2022-10-18,01 15 20 44 67,23,3.0,1,15,20,44,67
2022-10-14,09 22 26 41 44,19,2.0,9,22,26,41,44
2022-10-11,03 07 11 13 38,1,3.0,3,7,11,13,38
